timestamp	userId	username	instanceId	activityId	activityTitle	activityType	plane	type	itemId	value	payload
Mon, 30 Nov 2020 10:43:12 GMT		Maxime Jan						teacher.startSession			
Mon, 30 Nov 2020 10:47:21 GMT		Alicia						Logged in			
Mon, 30 Nov 2020 10:47:33 GMT		paula						Logged in			
Mon, 30 Nov 2020 10:47:34 GMT		Emma						Logged in			
Mon, 30 Nov 2020 10:47:36 GMT		capucine						Logged in			
Mon, 30 Nov 2020 10:47:40 GMT		Marie						Logged in			
Mon, 30 Nov 2020 10:47:46 GMT		Léa						Logged in			
Mon, 30 Nov 2020 10:48:53 GMT		malik						Logged in			
Mon, 30 Nov 2020 10:48:58 GMT		sonia						Logged in			
Mon, 30 Nov 2020 10:49:05 GMT		HELIOMOREL						Logged in			
Mon, 30 Nov 2020 10:49:09 GMT		Henoch						Logged in			
Mon, 30 Nov 2020 10:49:12 GMT		-SEBI-						Logged in			
Mon, 30 Nov 2020 10:49:14 GMT		Nicolas						Logged in			
Mon, 30 Nov 2020 10:49:18 GMT		ANTOINE						Logged in			
Mon, 30 Nov 2020 10:49:20 GMT		LOUIS						Logged in			
Mon, 30 Nov 2020 10:49:35 GMT		malik						Logged in			
Mon, 30 Nov 2020 10:49:47 GMT		Sahar						Logged in			
Mon, 30 Nov 2020 10:50:37 GMT		Lisa						Logged in			
Mon, 30 Nov 2020 10:50:44 GMT		Maxime Jan						teacher.nextActivity		0.5	
Mon, 30 Nov 2020 10:50:45 GMT		paula	oXAFHcyBLZPrTwCX5	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	activityDidMount			
Mon, 30 Nov 2020 10:50:45 GMT		Alicia	a2Ckwzfe9yionRt8j	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	activityDidMount			
Mon, 30 Nov 2020 10:50:45 GMT		Emma	PireZZS4EC2YtDzr7	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	activityDidMount			
Mon, 30 Nov 2020 10:50:45 GMT		Maxime Jan	kAGqQvo3pgFJLa9ea	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	activityDidMount			
Mon, 30 Nov 2020 10:50:45 GMT		Marie	WefycwLQ4YnmyXxbe	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	activityDidMount			
Mon, 30 Nov 2020 10:50:45 GMT		Léa	mL9jSJPubEFdL2hsZ	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	activityDidMount			
Mon, 30 Nov 2020 10:50:45 GMT		sonia	KCwKjQb76cPjzx8JX	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	activityDidMount			
Mon, 30 Nov 2020 10:50:45 GMT		HELIOMOREL	qaQte2MipgdEF5ZTb	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	activityDidMount			
Mon, 30 Nov 2020 10:50:45 GMT		Henoch	xRSfbze8oF7h9QvFa	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	activityDidMount			
Mon, 30 Nov 2020 10:50:45 GMT		ANTOINE	iFpwFjqWgCo8c2tRA	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	activityDidMount			
Mon, 30 Nov 2020 10:50:45 GMT		-SEBI-	MJq483N8WXHz9MzBk	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	activityDidMount			
Mon, 30 Nov 2020 10:50:45 GMT		Nicolas	Bcei9rADYFhbKCp93	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	activityDidMount			
Mon, 30 Nov 2020 10:50:45 GMT		Maxime Jan	kAGqQvo3pgFJLa9ea	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:45 GMT		Lisa	Dz9wHmEWxcQubmTwW	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	activityDidMount			
Mon, 30 Nov 2020 10:50:45 GMT		LOUIS	BasbmZQMvwwLAgtSM	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	activityDidMount			
Mon, 30 Nov 2020 10:50:45 GMT		Sahar	6s6ywfF3aJCdYpQdL	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	activityDidMount			
Mon, 30 Nov 2020 10:50:45 GMT		sonia	KCwKjQb76cPjzx8JX	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:45 GMT		paula	oXAFHcyBLZPrTwCX5	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:45 GMT		Léa	mL9jSJPubEFdL2hsZ	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:45 GMT		Alicia	a2Ckwzfe9yionRt8j	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:45 GMT		Emma	PireZZS4EC2YtDzr7	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:45 GMT		HELIOMOREL	qaQte2MipgdEF5ZTb	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:45 GMT		malik	rgCgM5NdbNyergz9D	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	activityDidMount			
Mon, 30 Nov 2020 10:50:45 GMT		malik	rgCgM5NdbNyergz9D	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	activityDidMount			
Mon, 30 Nov 2020 10:50:45 GMT		Henoch	xRSfbze8oF7h9QvFa	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:45 GMT		ANTOINE	iFpwFjqWgCo8c2tRA	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:45 GMT		Nicolas	Bcei9rADYFhbKCp93	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:45 GMT		Lisa	Dz9wHmEWxcQubmTwW	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:45 GMT		Marie	WefycwLQ4YnmyXxbe	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:45 GMT		LOUIS	BasbmZQMvwwLAgtSM	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:45 GMT		-SEBI-	MJq483N8WXHz9MzBk	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:45 GMT		Sahar	6s6ywfF3aJCdYpQdL	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:45 GMT		malik	rgCgM5NdbNyergz9D	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:45 GMT		malik	rgCgM5NdbNyergz9D	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:46 GMT		capucine	wBypYSiPx2wm2qK4S	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	activityDidMount			
Mon, 30 Nov 2020 10:50:46 GMT		capucine	wBypYSiPx2wm2qK4S	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:46 GMT		Marie	WefycwLQ4YnmyXxbe	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	reactivetext.focus	["form",0,"text"]	""	
Mon, 30 Nov 2020 10:50:46 GMT		Marie	WefycwLQ4YnmyXxbe	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:46 GMT		Lisa	Dz9wHmEWxcQubmTwW	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	reactivetext.focus	["form",0,"text"]	""	
Mon, 30 Nov 2020 10:50:46 GMT		Lisa	Dz9wHmEWxcQubmTwW	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:47 GMT		Marie	WefycwLQ4YnmyXxbe	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	reactivetext.blur	["form",0,"text"]	""	
Mon, 30 Nov 2020 10:50:47 GMT		Marie	WefycwLQ4YnmyXxbe	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:47 GMT		capucine	wBypYSiPx2wm2qK4S	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	reactivetext.focus	["form",0,"text"]	""	
Mon, 30 Nov 2020 10:50:47 GMT		capucine	wBypYSiPx2wm2qK4S	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:48 GMT		Marie	WefycwLQ4YnmyXxbe	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	reactivetext.focus	["form",0,"text"]	""	
Mon, 30 Nov 2020 10:50:48 GMT		Marie	WefycwLQ4YnmyXxbe	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:48 GMT		Léa	mL9jSJPubEFdL2hsZ	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	reactivetext.focus	["form",0,"text"]	""	
Mon, 30 Nov 2020 10:50:48 GMT		Léa	mL9jSJPubEFdL2hsZ	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:48 GMT		Alicia	a2Ckwzfe9yionRt8j	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	reactivetext.focus	["form",0,"text"]	""	
Mon, 30 Nov 2020 10:50:48 GMT		Alicia	a2Ckwzfe9yionRt8j	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:48 GMT		Henoch	xRSfbze8oF7h9QvFa	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	reactivetext.focus	["form",0,"text"]	""	
Mon, 30 Nov 2020 10:50:48 GMT		Henoch	xRSfbze8oF7h9QvFa	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:49 GMT		Emma	PireZZS4EC2YtDzr7	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	reactivetext.focus	["form",0,"text"]	""	
Mon, 30 Nov 2020 10:50:49 GMT		Emma	PireZZS4EC2YtDzr7	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:49 GMT		Sahar	6s6ywfF3aJCdYpQdL	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	reactivetext.focus	["form",0,"text"]	""	
Mon, 30 Nov 2020 10:50:49 GMT		Sahar	6s6ywfF3aJCdYpQdL	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:49 GMT		paula	oXAFHcyBLZPrTwCX5	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	reactivetext.focus	["form",0,"text"]	""	
Mon, 30 Nov 2020 10:50:49 GMT		paula	oXAFHcyBLZPrTwCX5	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:50 GMT		Nicolas	Bcei9rADYFhbKCp93	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	reactivetext.focus	["form",0,"text"]	""	
Mon, 30 Nov 2020 10:50:50 GMT		Nicolas	Bcei9rADYFhbKCp93	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:51 GMT		ANTOINE	iFpwFjqWgCo8c2tRA	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	reactivetext.focus	["form",0,"text"]	""	
Mon, 30 Nov 2020 10:50:51 GMT		ANTOINE	iFpwFjqWgCo8c2tRA	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:52 GMT		capucine	wBypYSiPx2wm2qK4S	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	reactivetext.blur	["form",0,"text"]	"Capucine"	
Mon, 30 Nov 2020 10:50:52 GMT		capucine	wBypYSiPx2wm2qK4S	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		1	
Mon, 30 Nov 2020 10:50:52 GMT		capucine	wBypYSiPx2wm2qK4S	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		1	
Mon, 30 Nov 2020 10:50:52 GMT		capucine	wBypYSiPx2wm2qK4S	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	coordinates			{"x":0,"y":0}
Mon, 30 Nov 2020 10:50:52 GMT		Alicia	a2Ckwzfe9yionRt8j	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	reactivetext.blur	["form",0,"text"]	"Alicia\n"	
Mon, 30 Nov 2020 10:50:52 GMT		Alicia	a2Ckwzfe9yionRt8j	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		1	
Mon, 30 Nov 2020 10:50:52 GMT		Alicia	a2Ckwzfe9yionRt8j	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		1	
Mon, 30 Nov 2020 10:50:52 GMT		Alicia	a2Ckwzfe9yionRt8j	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	coordinates			{"x":0,"y":0}
Mon, 30 Nov 2020 10:50:53 GMT		-SEBI-	MJq483N8WXHz9MzBk	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	reactivetext.focus	["form",0,"text"]	""	
Mon, 30 Nov 2020 10:50:53 GMT		-SEBI-	MJq483N8WXHz9MzBk	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:53 GMT		malik	rgCgM5NdbNyergz9D	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	reactivetext.focus	["form",0,"text"]	""	
Mon, 30 Nov 2020 10:50:53 GMT		malik	rgCgM5NdbNyergz9D	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:53 GMT		malik	rgCgM5NdbNyergz9D	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	reactivetext.blur	["form",0,"text"]	""	
Mon, 30 Nov 2020 10:50:53 GMT		malik	rgCgM5NdbNyergz9D	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		0	
Mon, 30 Nov 2020 10:50:53 GMT		Henoch	xRSfbze8oF7h9QvFa	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	reactivetext.blur	["form",0,"text"]	"Henoch"	
Mon, 30 Nov 2020 10:50:53 GMT		Henoch	xRSfbze8oF7h9QvFa	cki4fc7ai00vh01yw0cv60dbj	Bienvenue	ac-quiz	1	progress		1	
